"latitude","longitude","state","county"
34.215714,-82.446307,"SC","Abbeville"
30.344615,-92.345888,"LA","Acadia"
37.712919,-75.661132,"VA","Accomack"
43.735179,-116.41033,"ID","Ada"
41.439109,-94.633805,"IA","Adair"
36.955287,-85.403561,"KY","Adair"
40.165717,-92.609514,"MO","Adair"
35.900019,-94.640218,"OK","Adair"
39.788286,-104.822765,"CO","Adams"
41.048733,-94.823088,"IA","Adams"
44.853452,-116.548601,"ID","Adams"
39.952413,-91.200676,"IL","Adams"
40.671628,-84.934331,"IN","Adams"
31.527752,-91.307025,"MS","Adams"
46.057786,-102.785054,"ND","Adams"
40.582425,-98.389035,"NE","Adams"
38.749779,-83.612574,"OH","Adams"
39.896923,-76.994725,"PA","Adams"
46.859127,-118.161058,"WA","Adams"
43.892066,-89.827509,"WI","Adams"
44.157814,-73.071813,"VT","Addison"
33.605723,-81.365813,"SC","Aiken"
46.671645,-93.432392,"MN","Aitkin"
29.68041,-82.345739,"FL","Alachua"
36.031836,-79.485643,"NC","Alamance"
37.770563,-122.264779,"CA","Alameda"
37.479933,-105.790967,"CO","Alamosa"
42.482455,-73.936671,"NY","Albany"
41.464065,-105.676771,"WY","Albany"
38.093604,-78.561139,"VA","Albemarle"
44.678354,-83.599977,"MI","Alcona"
34.87589,-88.591575,"MS","Alcorn"
37.152775,-89.325581,"IL","Alexander"
35.938931,-81.149233,"NC","Alexander"
38.823062,-77.079622,"VA","Alexandria City"
36.51176,-98.449895,"OK","Alfalfa"
46.444586,-86.911506,"MI","Alger"
43.43073,-91.509087,"IA","Allamakee"
42.539295,-85.894873,"MI","Allegan"
39.580691,-78.690593,"MD","Allegany"
42.474283,-78.247413,"NY","Allegany"
36.520689,-80.983323,"NC","Alleghany"
37.796454,-79.785987,"VA","Alleghany"
40.493128,-79.903121,"PA","Allegheny"
41.103797,-85.292474,"IN","Allen"
37.838456,-95.215073,"KS","Allen"
36.67931,-86.17603,"KY","Allen"
30.818176,-92.758262,"LA","Allen"
40.772147,-84.0471,"OH","Allen"
32.990158,-81.287561,"SC","Allendale"
45.033143,-83.495091,"MI","Alpena"
38.575433,-120.285021,"CA","Alpine"
38.418568,-120.831845,"CA","Amador"
37.342768,-77.984092,"VA","Amelia"
37.59162,-79.108441,"VA","Amherst"
31.247847,-90.885075,"MS","Amite"
38.213685,-95.299014,"KS","Anderson"
38.006484,-84.979923,"KY","Anderson"
34.492718,-82.638297,"SC","Anderson"
36.202528,-84.068808,"TN","Anderson"
31.992987,-95.499133,"TX","Anderson"
39.908392,-94.923508,"MO","Andrew"
32.370377,-102.523255,"TX","Andrews"
44.087422,-70.243848,"ME","Androscoggin"
31.276467,-94.508447,"TX","Angelina"
38.802263,-76.645735,"MD","Anne Arundel"
45.388716,-93.231538,"MN","Anoka"
35.021874,-80.085232,"NC","Anson"
41.982761,-98.083714,"NE","Antelope"
44.983262,-84.961776,"MI","Antrim"
34.177052,-109.240647,"AZ","Apache"
40.686447,-92.881614,"IA","Appanoose"
31.756861,-82.350837,"GA","Appling"
37.377196,-78.80648,"VA","Appomattox"
28.058922,-97.052415,"TX","Aransas"
39.715287,-104.84748,"CO","Arapahoe"
33.556215,-98.624934,"TX","Archer"
37.109225,-107.31183,"CO","Archuleta"
43.979427,-83.900702,"MI","Arenac"
34.38443,-91.392364,"AR","Arkansas"
38.885484,-77.099113,"VA","Arlington"
40.847829,-79.451575,"PA","Armstrong"
35.133039,-101.460835,"TX","Armstrong"
46.516166,-68.886826,"ME","Aroostook"
41.554073,-101.714495,"NE","Arthur"
30.159584,-90.967424,"LA","Ascension"
36.464673,-81.596886,"NC","Ashe"
40.826965,-82.296131,"OH","Ashland"
46.394779,-90.628174,"WI","Ashland"
33.180855,-91.806256,"AR","Ashley"
41.740136,-80.602278,"OH","Ashtabula"
46.121593,-117.17858,"WA","Asotin"
29.947562,-91.188549,"LA","Assumption"
28.788589,-98.139626,"TX","Atascosa"
39.535948,-95.225098,"KS","Atchison"
40.347147,-95.390747,"MO","Atchison"
39.339279,-82.013803,"OH","Athens"
31.303159,-82.847997,"GA","Atkinson"
39.563616,-74.711081,"NJ","Atlantic"
34.358254,-96.0825,"OK","Atoka"
33.08167,-89.541348,"MS","Attala"
39.270895,-91.557429,"MO","Audrain"
41.704535,-94.918652,"IA","Audubon"
40.589876,-84.12786,"OH","Auglaize"
38.325455,-79.094228,"VA","Augusta"
43.746753,-98.518533,"SD","Aurora"
29.864772,-96.321766,"TX","Austin"
32.450328,-86.721712,"AL","Autauga"
36.072025,-81.910144,"NC","Avery"
31.091942,-91.906093,"LA","Avoyelles"
37.184434,-102.473938,"CO","Baca"
31.576952,-82.461197,"GA","Bacon"
33.929317,-102.688297,"TX","Bailey"
30.302616,-82.190828,"FL","Baker"
31.37168,-84.338325,"GA","Baker"
44.754237,-117.742659,"OR","Baker"
30.763492,-87.756371,"AL","Baldwin"
33.022658,-83.246975,"GA","Baldwin"
37.148007,-88.948562,"KY","Ballard"
39.496406,-76.486624,"MD","Baltimore"
39.296536,-76.623489,"MD","Baltimore City"
33.206294,-80.973559,"SC","Bamberg"
29.724328,-99.104014,"TX","Bandera"
34.393713,-83.473886,"GA","Banks"
41.546441,-103.710045,"NE","Banner"
42.770177,-112.259807,"ID","Bannock"
46.80476,-88.575842,"MI","Baraga"
37.076952,-98.751916,"KS","Barber"
31.805322,-85.421299,"AL","Barbour"
39.125078,-80.017982,"WV","Barbour"
46.775099,-97.797553,"ND","Barnes"
41.745505,-70.590471,"MA","Barnstable"
33.249806,-81.349595,"SC","Barnwell"
36.815869,-85.992039,"KY","Barren"
45.405423,-91.828102,"WI","Barron"
34.019109,-83.826094,"GA","Barrow"
42.697951,-85.133685,"MI","Barry"
36.761726,-94.054723,"MO","Barry"
39.191447,-85.891338,"IN","Bartholomew"
38.420451,-98.913448,"KS","Barton"
37.417327,-94.144032,"MO","Barton"
34.296339,-84.909216,"GA","Bartow"
30.140905,-97.313592,"TX","Bastrop"
38.397029,-94.380375,"MO","Bates"
38.084908,-83.700824,"KY","Bath"
38.055311,-79.746367,"VA","Bath"
